"Pair_Name","Ligand_ApprovedSymbol","Receptor_ApprovedSymbol"
"A2M_LRP1","A2m","Lrp1"
"AANAT_MTNR1A","Aanat","Mtnr1a"
"AANAT_MTNR1B","Aanat","Mtnr1b"
"ACE_AGTR2","Ace","Agtr2"
"ACE_BDKRB2","Ace","Bdkrb2"
"ADAM10_AXL","Adam10","Axl"
"ADAM10_EPHA3","Adam10","Epha3"
"ADAM12_ITGA9","Adam12","Itga9"
"ADAM12_ITGB1","Adam12","Itgb1"
"ADAM12_SDC4","Adam12","Sdc4"
"ADAM15_ITGA5","Adam15","Itga5"
"ADAM15_ITGA9","Adam15","Itga9"
"ADAM15_ITGAV","Adam15","Itgav"
"ADAM15_ITGB1","Adam15","Itgb1"
"ADAM15_ITGB3","Adam15","Itgb3"
"ADAM17_ERBB4","Adam17","Erbb4"
"ADAM17_ITGA5","Adam17","Itga5"
"ADAM17_ITGB1","Adam17","Itgb1"
"ADAM17_NOTCH1","Adam17","Notch1"
"ADAM23_ITGA5","Adam23","Itga5"
"ADAM23_ITGB3","Adam23","Itgb3"
"ADAM28_ITGA4","Adam28","Itga4"
"ADAM2_CD9","Adam2","Cd9"
"ADAM2_ITGA6","Adam2","Itga6"
"ADAM2_ITGA9","Adam2","Itga9"
"ADAM2_ITGB1","Adam2","Itgb1"
"ADAM2_ITGB7","Adam2","Itgb7"
"ADAM9_ITGA3","Adam9","Itga3"
"ADAM9_ITGA6","Adam9","Itga6"
"ADAM9_ITGAV","Adam9","Itgav"
"ADAM9_ITGB1","Adam9","Itgb1"
"ADAM9_ITGB5","Adam9","Itgb5"
"ADCYAP1_ADCYAP1R1","Adcyap1","Adcyap1r1"
"ADCYAP1_SCTR","Adcyap1","Sctr"
"ADCYAP1_VIPR1","Adcyap1","Vipr1"
"ADCYAP1_VIPR2","Adcyap1","Vipr2"
"ADIPOQ_ADIPOR1","Adipoq","Adipor1"
"ADIPOQ_ADIPOR2","Adipoq","Adipor2"
"ADM2_CALCR","Adm2","Calcr"
"ADM2_CALCRL","Adm2","Calcrl"
"ADM2_RAMP1","Adm2","Ramp1"
"ADM_CALCR","Adm","Calcr"
"ADM_CALCRL","Adm","Calcrl"
"ADM_GPR182","Adm","Gpr182"
"ADM_RAMP2","Adm","Ramp2"
"AGRN_ATP1A3","Agrn","Atp1a3"
"AGRN_LRP4","Agrn","Lrp4"
"AGRN_MUSK","Agrn","Musk"
"AGRP_MC3R","Agrp","Mc3r"
"AGRP_MC4R","Agrp","Mc4r"
"AGRP_MC5R","Agrp","Mc5r"
"AGRP_SDC3","Agrp","Sdc3"
"AGT_AGTR1","Agt","Agtr1a"
"AGT_AGTR2","Agt","Agtr2"
"AGT_LRP2","Agt","Lrp2"
"AGT_MAS1","Agt","Mas1"
"AHSG_INSR","Ahsg","Insr"
"ALB_LRP2","Alb","Lrp2"
"AMELY_LAMP1","Amelx","Lamp1"
"AMH_ACVR1","Amh","Acvr1"
"AMH_AMHR2","Amh","Amhr2"
"AMH_EGFR","Amh","Egfr"
"ANGPT1_ITGA5","Angpt1","Itga5"
"ANGPT1_TEK","Angpt1","Tek"
"ANGPT1_TIE1","Angpt1","Tie1"
"ANGPT2_TEK","Angpt2","Tek"
"ANGPT4_TEK","Angpt4","Tek"
"ANGPTL1_TEK","Angptl1","Tek"
"ANGPTL3_ITGA5","Angptl3","Itga5"
"ANGPTL3_ITGAV","Angptl3","Itgav"
"ANGPTL3_ITGB3","Angptl3","Itgb3"
"ANXA1_DYSF","Anxa1","Dysf"
"ANXA1_EGFR","Anxa1","Egfr"
"ANXA1_FPR1","Anxa1","Fpr1"
"ANXA1_FPR2","Anxa1","Fpr2"
"APLN_APLNR","Apln","Aplnr"
"APOB_LDLR","Apob","Ldlr"
"APOB_LRP2","Apob","Lrp2"
"APOB_LSR","Apob","Lsr"
"APOB_OLR1","Apob","Olr1"
"APOD_LEPR","Apod","Lepr"
"APOE_LDLR","Apoe","Ldlr"
"APOE_LRP1","Apoe","Lrp1"
"APOE_LRP2","Apoe","Lrp2"
"APOE_LRP5","Apoe","Lrp5"
"APOE_LRP8","Apoe","Lrp8"
"APOE_SCARB1","Apoe","Scarb1"
"APOE_SORL1","Apoe","Sorl1"
"APOE_VLDLR","Apoe","Vldlr"
"APP_CAV1","App","Cav1"
"APP_CD74","App","Cd74"
"APP_FPR2","App","Fpr2"
"APP_GPC1","App","Gpc1"
"APP_LRP1","App","Lrp1"
"APP_NCSTN","App","Ncstn"
"APP_TNFRSF21","App","Tnfrsf21"
"AREG_EGFR","Areg","Egfr"
"AREG_ERBB3","Areg","Erbb3"
"ARF1_CHRM3","Arf1","Chrm3"
"ARF1_INSR","Arf1","Insr"
"ARF1_PLD2","Arf1","Pld2"
"ARTN_GFRA1","Artn","Gfra1"
"ARTN_GFRA3","Artn","Gfra3"
"ARTN_RET","Artn","Ret"
"ASIP_ATRN","a","Atrn"
"ASIP_F11R","a","F11r"
"ASIP_MC1R","a","Mc1r"
"ASIP_MC2R","a","Mc2r"
"ASIP_MC3R","a","Mc3r"
"ASIP_MC4R","a","Mc4r"
"ASIP_MC5R","a","Mc5r"
"AVP_AVPR1A","Avp","Avpr1a"
"AVP_AVPR1B","Avp","Avpr1b"
"AVP_AVPR2","Avp","Avpr2"
"AVP_OXTR","Avp","Oxtr"
"AZGP1_ITGAV","Azgp1","Itgav"
"B2M_HFE","B2m","Hfe"
"BDNF_NGFR","Bdnf","Ngfr"
"BDNF_NTRK2","Bdnf","Ntrk2"
"BDNF_SORT1","Bdnf","Sort1"
"BGN_TLR2","Bgn","Tlr2"
"BGN_TLR4","Bgn","Tlr4"
"BMP10_ACVR2A","Bmp10","Acvr2a"
"BMP10_ACVRL1","Bmp10","Acvrl1"
"BMP10_BMPR1A","Bmp10","Bmpr1a"
"BMP10_BMPR1B","Bmp10","Bmpr1b"
"BMP10_BMPR2","Bmp10","Bmpr2"
"BMP10_ENG","Bmp10","Eng"
"BMP15_ACVR2A","Bmp15","Acvr2a"
"BMP15_BMPR1A","Bmp15","Bmpr1a"
"BMP15_BMPR1B","Bmp15","Bmpr1b"
"BMP15_BMPR2","Bmp15","Bmpr2"
"BMP2_ACVR1","Bmp2","Acvr1"
"BMP2_ACVR2A","Bmp2","Acvr2a"
"BMP2_ACVR2B","Bmp2","Acvr2b"
"BMP2_BMPR1A","Bmp2","Bmpr1a"
"BMP2_BMPR1B","Bmp2","Bmpr1b"
"BMP2_BMPR2","Bmp2","Bmpr2"
"BMP2_ENG","Bmp2","Eng"
"BMP2_HFE2","Bmp2","Hfe2"
"BMP3_ACVR2B","Bmp3","Acvr2b"
"BMP4_BMPR1A","Bmp4","Bmpr1a"
"BMP4_BMPR1B","Bmp4","Bmpr1b"
"BMP4_BMPR2","Bmp4","Bmpr2"
"BMP5_BMPR1A","Bmp5","Bmpr1a"
"BMP6_ACVR1","Bmp6","Acvr1"
"BMP6_ACVR2A","Bmp6","Acvr2a"
"BMP6_BMPR1A","Bmp6","Bmpr1a"
"BMP6_BMPR1B","Bmp6","Bmpr1b"
"BMP6_BMPR2","Bmp6","Bmpr2"
"BMP7_ACVR1","Bmp7","Acvr1"
