"Receptor_ApprovedSymbol","B2.tanycytes 1","Plvap.ECs","ME.astrocytes 1","ME.astrocytes 2","Gfap.high astrocytes","fibroblasts.1","ME.pericytes"
"Lrp1",1.29209918802796,0.566512836128107,3.49346400353372,3.93482130233692,3.18737923668108,8.8107051237412,10.4705882352941
"Mtnr1a",0,0,0,0,0,0,0
"Mtnr1b",0,0,0,0,0,0,0
"Agtr2",0,0,0,0,0,0.0128421864038721,0
"Bdkrb2",0,0,0,0,0.00921075679933308,0,0
"Axl",1.4079387818636,0.15830772035421,2.1343943068158,1.90119378295598,2.51763347187606,4.26719421151974,5.17647058823529
"Epha3",0.0490427830831962,0,0.0150931668958506,0.0419036780136966,0.0248663143305138,0.110387802797086,0
"Itga9",0.36489904095033,0.295395531832165,0,0,0.00761422219517133,0.0488447065427596,0
"Itgb1",0.971920120961111,5.11786804847178,0.849542180894509,0.874730219739627,0.882855312295246,3.80961657711046,5.76470588235294
"Sdc4",0.802124764714772,0.116304289426713,3.60412290096804,3.67041025375528,3.4682690278393,0.720183636677898,7.11764705882353
"Itga5",0.00860020380375099,0.159810647760484,0.00804279578347005,0.0193527236476167,0,0.0219114137779475,3.35294117647059
"Itga9",0.36489904095033,0.295395531832165,0,0,0.00761422219517133,0.0488447065427596,0
"Itgav",0.859121805906659,0.313438437619888,1.84480383675111,1.34211778399827,1.36534195132599,0.746558270273417,0
"Itgb1",0.971920120961111,5.11786804847178,0.849542180894509,0.874730219739627,0.882855312295246,3.80961657711046,5.76470588235294
"Itgb3",0.0234101983383345,0.110808027732947,0.0259359764597724,0.020650204405961,0.0298685484338866,0.025838089013646,0
"Erbb4",0.458530919544665,0.0583328490552778,0.436921292768907,0.312896998951085,0.179687502446801,0,0
"Itga5",0.00860020380375099,0.159810647760484,0.00804279578347005,0.0193527236476167,0,0.0219114137779475,3.35294117647059
"Itgb1",0.971920120961111,5.11786804847178,0.849542180894509,0.874730219739627,0.882855312295246,3.80961657711046,5.76470588235294
"Notch1",0.398538708709681,0.876614356127424,0.720884407812117,0.70268498785844,0.657016515204545,0.301279078528649,3.47058823529412
"Itga5",0.00860020380375099,0.159810647760484,0.00804279578347005,0.0193527236476167,0,0.0219114137779475,3.35294117647059
"Itgb3",0.0234101983383345,0.110808027732947,0.0259359764597724,0.020650204405961,0.0298685484338866,0.025838089013646,0
"Itga4",0.146577820419673,0.358803861792282,0.153579840598687,0.0679279801923704,0.112065638629605,0.130392600727463,0
"Cd9",3.80053614587788,0.775872486190485,3.35379627845208,3.47556516063797,6.16388341529301,2.98045955155811,7.23529411764706
"Itga6",0.277838914853488,4.25569527918813,3.78342303710292,2.79274031719105,2.4686162703496,0.0456751574460288,0
"Itga9",0.36489904095033,0.295395531832165,0,0,0.00761422219517133,0.0488447065427596,0
"Itgb1",0.971920120961111,5.11786804847178,0.849542180894509,0.874730219739627,0.882855312295246,3.80961657711046,5.76470588235294
"Itgb7",0.00421030485519546,0.0710653129119394,0.00103468951422467,0,0,0.0512687306909164,0
"Itga3",0.178765965899265,0.652511360147355,0.0272089295787445,0.0306721959780115,0.0669347809296182,0.233120145008603,0
"Itga6",0.277838914853488,4.25569527918813,3.78342303710292,2.79274031719105,2.4686162703496,0.0456751574460288,0
"Itgav",0.859121805906659,0.313438437619888,1.84480383675111,1.34211778399827,1.36534195132599,0.746558270273417,0
"Itgb1",0.971920120961111,5.11786804847178,0.849542180894509,0.874730219739627,0.882855312295246,3.80961657711046,5.76470588235294
"Itgb5",1.82578883297839,0.407857262766827,1.10765391877631,1.4130610243911,1.03943764138892,1.11949693986877,6.29411764705882
"Adcyap1r1",0.0394079536570258,0.301405046589112,6.84571775241495,6.24934564966072,6.78367794683725,0.905105958534799,0
"Sctr",0.002680171534487,0,0.0572295450994949,0.0692213151322246,0.102521066269399,0,0
"Vipr1",0,0,0,0,0,0.0371404419861393,0
"Vipr2",0.00117813314205723,0,0.00992803215147041,0,0.00936724144352859,0.00748588131670341,0
