"","cortex astrocytes","Endothelial cells 1","Endothelial cells 3","ME astrocytes","Microglia","Mural cells","Neurons 1","Neurons 2","Neurons 3","Neurons 4","Neurons 5","Neurons 6","Neurons 12","Neurons 13","Oligodendrocytes 1","Oligodendrocytes 2","Oligodendrocytes 3","OPCs","PVMs 1","PVMs 2","Tanycytes 1","T cells"
"A2m",0.066878054542123,0.0051037854776888,0,0,0,0.0295403521209973,0.00902928536054969,0.00952473294259344,0.0135775666013586,0,0,0.0146641768382643,0.00863298421545166,0,0.00600463611399719,0,0.0164673493554649,0.0214204772330386,0,0,0,0
"Aanat",0.00163776073986107,0,0,0,0.0182939099573752,0.00305213970253846,0.0113354841057477,0.0090517124721321,0.0191188038294028,0,0,0.0137337064586778,0.00674137912437575,0,0.00093436532114323,0,0,0,0,0,0,0
"Aanat.1",0.00163776073986107,0,0,0,0.0182939099573752,0.00305213970253846,0.0113354841057477,0.0090517124721321,0.0191188038294028,0,0,0.0137337064586778,0.00674137912437575,0,0.00093436532114323,0,0,0,0,0,0,0
"Ace",0.00938553821230871,0.273122884954112,0.104742751801575,0,0.00688844078051738,0,0.0254195931769337,0.0275400857106836,0.0515672405551329,0.657851457140978,0.552242102937928,0.0166534055512002,0.0646709048800242,0.0201044188200223,0.00454299012048707,0.0297741722998464,0,0.0644763447557618,0.299044255442604,0,0,0
"Ace.1",0.00938553821230871,0.273122884954112,0.104742751801575,0,0.00688844078051738,0,0.0254195931769337,0.0275400857106836,0.0515672405551329,0.657851457140978,0.552242102937928,0.0166534055512002,0.0646709048800242,0.0201044188200223,0.00454299012048707,0.0297741722998464,0,0.0644763447557618,0.299044255442604,0,0,0
"Adam10",0.962837851033819,3.69095828521983,2.206569038436,0.93694368968425,3.07871714904303,1.21718780684564,0.807555004477014,0.763221848390116,0.642672841551329,0.657851457140978,0.487930107658757,1.07840148206927,0.929797702493484,0.754491411271595,1.71617410274956,0.878444483420504,2.08632758051857,1.81513740957582,1.48816201463969,1.79281734417486,0,1.00947665396857
"Adam10.1",0.962837851033819,3.69095828521983,2.206569038436,0.93694368968425,3.07871714904303,1.21718780684564,0.807555004477014,0.763221848390116,0.642672841551329,0.657851457140978,0.487930107658757,1.07840148206927,0.929797702493484,0.754491411271595,1.71617410274956,0.878444483420504,2.08632758051857,1.81513740957582,1.48816201463969,1.79281734417486,0,1.00947665396857
"Adam12",0.0173714142985716,0.0163337445976312,0,0,0.064924227090169,0.0138782535997082,0.0303371184588812,0.0206521155280803,0.135605738694671,0,0,0.0290512138401475,0.0328843968304859,0.0235784747877502,0.0338454351518366,0.171040678926023,0.00394190887725763,0.778436468882352,0.0352331022041829,0,0,0.164581961816985
"Adam12.1",0.0173714142985716,0.0163337445976312,0,0,0.064924227090169,0.0138782535997082,0.0303371184588812,0.0206521155280803,0.135605738694671,0,0,0.0290512138401475,0.0328843968304859,0.0235784747877502,0.0338454351518366,0.171040678926023,0.00394190887725763,0.778436468882352,0.0352331022041829,0,0,0.164581961816985
"Adam12.2",0.0173714142985716,0.0163337445976312,0,0,0.064924227090169,0.0138782535997082,0.0303371184588812,0.0206521155280803,0.135605738694671,0,0,0.0290512138401475,0.0328843968304859,0.0235784747877502,0.0338454351518366,0.171040678926023,0.00394190887725763,0.778436468882352,0.0352331022041829,0,0,0.164581961816985
"Adam15",0.241910873362868,1.21999250441579,1.6454228581993,0,0.913292738172165,0.420031261941781,0.293144400317445,0.376711270198267,0.583052347992414,0,1.29430206138257,0.324998338456654,0.442703488855938,0.25168314339252,0.31472102676299,0.235144167821529,0.25618592748728,0.256594477055826,0.274994763057087,0.503193805782641,0,0.0143287003868749
"Adam15.1",0.241910873362868,1.21999250441579,1.6454228581993,0,0.913292738172165,0.420031261941781,0.293144400317445,0.376711270198267,0.583052347992414,0,1.29430206138257,0.324998338456654,0.442703488855938,0.25168314339252,0.31472102676299,0.235144167821529,0.25618592748728,0.256594477055826,0.274994763057087,0.503193805782641,0,0.0143287003868749
"Adam15.2",0.241910873362868,1.21999250441579,1.6454228581993,0,0.913292738172165,0.420031261941781,0.293144400317445,0.376711270198267,0.583052347992414,0,1.29430206138257,0.324998338456654,0.442703488855938,0.25168314339252,0.31472102676299,0.235144167821529,0.25618592748728,0.256594477055826,0.274994763057087,0.503193805782641,0,0.0143287003868749
"Adam15.3",0.241910873362868,1.21999250441579,1.6454228581993,0,0.913292738172165,0.420031261941781,0.293144400317445,0.376711270198267,0.583052347992414,0,1.29430206138257,0.324998338456654,0.442703488855938,0.25168314339252,0.31472102676299,0.235144167821529,0.25618592748728,0.256594477055826,0.274994763057087,0.503193805782641,0,0.0143287003868749
"Adam15.4",0.241910873362868,1.21999250441579,1.6454228581993,0,0.913292738172165,0.420031261941781,0.293144400317445,0.376711270198267,0.583052347992414,0,1.29430206138257,0.324998338456654,0.442703488855938,0.25168314339252,0.31472102676299,0.235144167821529,0.25618592748728,0.256594477055826,0.274994763057087,0.503193805782641,0,0.0143287003868749
"Adam17",0.359307707197221,1.04910467341795,0.958556766981075,0,1.62299955788076,0.420862459794326,0.0847800967777185,0.0902780595218468,0.148721231000993,0,0,0.0835433520230391,0.115774872836558,0.0581971557135725,0.530576938122876,0.761939184221965,0.501116550105365,0.86228426384935,1.5604360298384,1.50270408186621,0,0.491597699714417
"Adam17.1",0.359307707197221,1.04910467341795,0.958556766981075,0,1.62299955788076,0.420862459794326,0.0847800967777185,0.0902780595218468,0.148721231000993,0,0,0.0835433520230391,0.115774872836558,0.0581971557135725,0.530576938122876,0.761939184221965,0.501116550105365,0.86228426384935,1.5604360298384,1.50270408186621,0,0.491597699714417
"Adam17.2",0.359307707197221,1.04910467341795,0.958556766981075,0,1.62299955788076,0.420862459794326,0.0847800967777185,0.0902780595218468,0.148721231000993,0,0,0.0835433520230391,0.115774872836558,0.0581971557135725,0.530576938122876,0.761939184221965,0.501116550105365,0.86228426384935,1.5604360298384,1.50270408186621,0,0.491597699714417
"Adam17.3",0.359307707197221,1.04910467341795,0.958556766981075,0,1.62299955788076,0.420862459794326,0.0847800967777185,0.0902780595218468,0.148721231000993,0,0,0.0835433520230391,0.115774872836558,0.0581971557135725,0.530576938122876,0.761939184221965,0.501116550105365,0.86228426384935,1.5604360298384,1.50270408186621,0,0.491597699714417
"Adam23",0.466061444601944,0.0409444193132509,0.0481056014162289,1.02155480641536,0.0842907578338164,0.0157575247131312,1.17025876244588,0.74663524799415,0.954492360795295,1.05285323225942,0.567649242245012,1.11585338175215,0.963844219652759,1.11884344233927,0.113485943656141,0.954168658323343,0.118440421375291,1.3398801339315,0.0411888757084487,0.112724912260724,0,0.182991626816175
"Adam23.1",0.466061444601944,0.0409444193132509,0.0481056014162289,1.02155480641536,0.0842907578338164,0.0157575247131312,1.17025876244588,0.74663524799415,0.954492360795295,1.05285323225942,0.567649242245012,1.11585338175215,0.963844219652759,1.11884344233927,0.113485943656141,0.954168658323343,0.118440421375291,1.3398801339315,0.0411888757084487,0.112724912260724,0,0.182991626816175
"Adam28",0.580830062292867,0.423286078234703,0.0594592976174988,0,0.527716800149468,0.401189827719451,0.826400936620932,0.877020178575844,2.30384615399607,0,2.53969926679305,0.946617017851368,1.13924173960565,0.827439001725574,0.325119715694551,0.644695520327053,0.539175797754025,1.00780895918428,0.163062933052717,0.21858677697349,0,0.501388666058814
"Adam2",0.0061124340159834,0.00217701292057168,0,0,0,0,0.0048141253673522,0.00282012037786532,0.0102568205292314,0,0,0.00231221278960646,0,0.0080160127871436,0.00258371277455199,0,0,0,0,0,0,0
"Adam2.1",0.0061124340159834,0.00217701292057168,0,0,0,0,0.0048141253673522,0.00282012037786532,0.0102568205292314,0,0,0.00231221278960646,0,0.0080160127871436,0.00258371277455199,0,0,0,0,0,0,0
"Adam2.2",0.0061124340159834,0.00217701292057168,0,0,0,0,0.0048141253673522,0.00282012037786532,0.0102568205292314,0,0,0.00231221278960646,0,0.0080160127871436,0.00258371277455199,0,0,0,0,0,0,0
"Adam2.3",0.0061124340159834,0.00217701292057168,0,0,0,0,0.0048141253673522,0.00282012037786532,0.0102568205292314,0,0,0.00231221278960646,0,0.0080160127871436,0.00258371277455199,0,0,0,0,0,0,0
"Adam2.4",0.0061124340159834,0.00217701292057168,0,0,0,0,0.0048141253673522,0.00282012037786532,0.0102568205292314,0,0,0.00231221278960646,0,0.0080160127871436,0.00258371277455199,0,0,0,0,0,0,0
"Adam9",0.202809253051291,0.339527069009414,0.229622727208732,0,0.404827719930243,0.642830885213526,0.510422217903066,0.256088008774829,0.38731100735037,0,0.196401916882709,0.325080425673336,0.275607587295681,0.757842880823202,1.2881001368561,1.3148924608436,1.07731058403889,2.57847080384632,0.37219190792487,1.61031711934311,0,0.0289536163066767
"Adam9.1",0.202809253051291,0.339527069009414,0.229622727208732,0,0.404827719930243,0.642830885213526,0.510422217903066,0.256088008774829,0.38731100735037,0,0.196401916882709,0.325080425673336,0.275607587295681,0.757842880823202,1.2881001368561,1.3148924608436,1.07731058403889,2.57847080384632,0.37219190792487,1.61031711934311,0,0.0289536163066767
"Adam9.2",0.202809253051291,0.339527069009414,0.229622727208732,0,0.404827719930243,0.642830885213526,0.510422217903066,0.256088008774829,0.38731100735037,0,0.196401916882709,0.325080425673336,0.275607587295681,0.757842880823202,1.2881001368561,1.3148924608436,1.07731058403889,2.57847080384632,0.37219190792487,1.61031711934311,0,0.0289536163066767
"Adam9.3",0.202809253051291,0.339527069009414,0.229622727208732,0,0.404827719930243,0.642830885213526,0.510422217903066,0.256088008774829,0.38731100735037,0,0.196401916882709,0.325080425673336,0.275607587295681,0.757842880823202,1.2881001368561,1.3148924608436,1.07731058403889,2.57847080384632,0.37219190792487,1.61031711934311,0,0.0289536163066767
"Adam9.4",0.202809253051291,0.339527069009414,0.229622727208732,0,0.404827719930243,0.642830885213526,0.510422217903066,0.256088008774829,0.38731100735037,0,0.196401916882709,0.325080425673336,0.275607587295681,0.757842880823202,1.2881001368561,1.3148924608436,1.07731058403889,2.57847080384632,0.37219190792487,1.61031711934311,0,0.0289536163066767
"Adcyap1",0.00108121768519417,0.0122435933036559,0,0,0.0072991404649912,0,0.33324254829502,0.191927603380253,0.132545722851191,0,0.291528190776048,0.0338867692243568,0.00456025464461936,0.297008799975871,0.00436537303974334,0,0,0.0278617117266454,0.0175964638146318,0.00512941514408527,0,0
"Adcyap1.1",0.00108121768519417,0.0122435933036559,0,0,0.0072991404649912,0,0.33324254829502,0.191927603380253,0.132545722851191,0,0.291528190776048,0.0338867692243568,0.00456025464461936,0.297008799975871,0.00436537303974334,0,0,0.0278617117266454,0.0175964638146318,0.00512941514408527,0,0
"Adcyap1.2",0.00108121768519417,0.0122435933036559,0,0,0.0072991404649912,0,0.33324254829502,0.191927603380253,0.132545722851191,0,0.291528190776048,0.0338867692243568,0.00456025464461936,0.297008799975871,0.00436537303974334,0,0,0.0278617117266454,0.0175964638146318,0.00512941514408527,0,0
"Adcyap1.3",0.00108121768519417,0.0122435933036559,0,0,0.0072991404649912,0,0.33324254829502,0.191927603380253,0.132545722851191,0,0.291528190776048,0.0338867692243568,0.00456025464461936,0.297008799975871,0.00436537303974334,0,0,0.0278617117266454,0.0175964638146318,0.00512941514408527,0,0
"Adipoq",0,0,0,0,0.00150385822346521,0,0.00204223474292693,0.00236324116470479,0.0142862857371438,0,0,0.00485266829774018,0.00908262512902278,0,0,0.00544899441532562,0,0.00539152732264301,0,0,0,0
"Adipoq.1",0,0,0,0,0.00150385822346521,0,0.00204223474292693,0.00236324116470479,0.0142862857371438,0,0,0.00485266829774018,0.00908262512902278,0,0,0.00544899441532562,0,0.00539152732264301,0,0,0,0
"Adm2",0.00240680052400155,0.00565956579811197,0,0,0,0.0138008319141478,0.00170828776239938,0.00293465637765336,0,0,0,0.00110282667711264,0,0,0.00721059553750663,0,0,0.00218319351434336,0,0,0,0
"Adm2.1",0.00240680052400155,0.00565956579811197,0,0,0,0.0138008319141478,0.00170828776239938,0.00293465637765336,0,0,0,0.00110282667711264,0,0,0.00721059553750663,0,0,0.00218319351434336,0,0,0,0
"Adm2.2",0.00240680052400155,0.00565956579811197,0,0,0,0.0138008319141478,0.00170828776239938,0.00293465637765336,0,0,0,0.00110282667711264,0,0,0.00721059553750663,0,0,0.00218319351434336,0,0,0,0
"Adm",0.0112727903846192,0.318224258180976,0.170922842986102,0,0.0485565543719052,0.230818515576769,0.0222991598633121,0.0151688609740401,0.0277684165890787,0,0,0.0209380439855673,0.115572195279426,0.0438446928217852,0.00171267279602523,0.0273229513673733,0.0245771826831106,0.451272438357447,0.0899450308179482,0.0266211386038455,0,0
"Adm.1",0.0112727903846192,0.318224258180976,0.170922842986102,0,0.0485565543719052,0.230818515576769,0.0222991598633121,0.0151688609740401,0.0277684165890787,0,0,0.0209380439855673,0.115572195279426,0.0438446928217852,0.00171267279602523,0.0273229513673733,0.0245771826831106,0.451272438357447,0.0899450308179482,0.0266211386038455,0,0
"Adm.2",0.0112727903846192,0.318224258180976,0.170922842986102,0,0.0485565543719052,0.230818515576769,0.0222991598633121,0.0151688609740401,0.0277684165890787,0,0,0.0209380439855673,0.115572195279426,0.0438446928217852,0.00171267279602523,0.0273229513673733,0.0245771826831106,0.451272438357447,0.0899450308179482,0.0266211386038455,0,0
