"Receptor_ApprovedSymbol","cECs.1","pericytes.1","cortex.astrocytes"
"Lrp1",0.0511969065054449,4.16004694737106,2.64922681385911
"Mtnr1a",0,0,0
"Mtnr1b",0,0,0
"Agtr2",0,0,0
"Bdkrb2",0,0,0.00258013167597654
"Axl",0.0305829986583912,8.88061820254451,1.62521772202999
"Epha3",0,0,0.135889534317489
"Itga9",0,0.144078145590631,0.0042043541850421
"Itgb1",5.46926361819502,11.2695919305915,0.826362408246442
"Sdc4",0.120666996161493,0.214111854714182,2.46743274606637
"Itga5",0.0485006448461194,0.0116092882224864,0.00874076256016625
"Itga9.1",0,0.144078145590631,0.0042043541850421
"Itgav",0.110607530152958,1.20868976967718,2.07659069026253
"Itgb1.1",5.46926361819502,11.2695919305915,0.826362408246442
"Itgb3",0.0410467437971343,0.0270895371237069,0.0207697858825573
"Erbb4",0,0,0.0031390844342208
"Itga5.1",0.0485006448461194,0.0116092882224864,0.00874076256016625
"Itgb1.2",5.46926361819502,11.2695919305915,0.826362408246442
"Notch1",0.913397561689841,3.83776401647847,0.783600708395036
"Itga5.2",0.0485006448461194,0.0116092882224864,0.00874076256016625
"Itgb3.1",0.0410467437971343,0.0270895371237069,0.0207697858825573
"Itga4",0.221582386720373,4.56262524747789,0.124503678306689
"Cd9",0.473192974411785,0.280062069432497,1.28091389980805
"Itga6",11.1484975418761,0.0642273841813987,3.56425228841093
"Itga9.2",0,0.144078145590631,0.0042043541850421
"Itgb1.3",5.46926361819502,11.2695919305915,0.826362408246442
"Itgb7",0,0,0
"Itga3",0.46595513766997,0,0.0244019770160602
"Itga6.1",11.1484975418761,0.0642273841813987,3.56425228841093
"Itgav.1",0.110607530152958,1.20868976967718,2.07659069026253
"Itgb1.4",5.46926361819502,11.2695919305915,0.826362408246442
"Itgb5",0.0363430299904081,3.18409596682944,0.731220114335081
"Adcyap1r1",0.0579408949811678,1.85258990343888,1.79937578398435
"Sctr",0,0,0.0360435399249932
"Vipr1",0,0,0.0035016033356374
"Vipr2",0.0068989203251375,0,0.00617109487920411
"Adipor1",2.03506870901102,1.44563994064804,0.695376594656286
"Adipor2",2.14649659675765,0.539708022447511,0.748117762921607
"Calcr",0,0,0
"Calcrl",1.2011815683597,0.485106628254991,0.0107671250118037
"Ramp1",0,0.0348671158786128,1.80827203498182
"Calcr.1",0,0,0
"Calcrl.1",1.2011815683597,0.485106628254991,0.0107671250118037
"Gpr182",0.0305323620485671,0.358999271984449,0.022085906233748
"Ramp2",6.55377587905741,0.250728694705244,0.51882048925292
"Atp1a3",0.0619536497514601,0.106502329561889,0.0700400862556563
"Lrp4",0.273616921431855,0.138841442896096,0.925669791481082
"Musk",0,0,0.000903746886344
"Mc3r",0,0,0.00060133837319722
"Mc4r",0,0,0
"Mc5r",0,0,0
"Sdc3",1.53344067358413,9.31190972609081,0.64031874757201
"Agtr1a",0,0,0.00438938550783311
"Agtr2.1",0,0,0
"Lrp2",0,0.0172492139026256,0.00624937123214078
"Mas1",0,0,0.00106449338169202
"Insr",1.40956765761817,0.422276851119824,0.607581530693606
"Lrp2.1",0,0.0172492139026256,0.00624937123214078
"Lamp1",3.0440659910883,6.34974614784203,4.47542798278425
"Acvr1",0.725115384295413,0.552297626401981,0.516495174925467
"Amhr2",0,0,0.0130609590422783
"Egfr",0.0317612664755127,0.235963377915261,1.63781937177375
"Itga5.3",0.0485006448461194,0.0116092882224864,0.00874076256016625
"Tek",4.97310743140156,0.0995765144878973,0.013846623293831
"Tie1",2.66110091608149,0.0377952957573071,0.0476029361543903
"Tek.1",4.97310743140156,0.0995765144878973,0.013846623293831
"Tek.2",4.97310743140156,0.0995765144878973,0.013846623293831
"Tek.3",4.97310743140156,0.0995765144878973,0.013846623293831
"Itga5.4",0.0485006448461194,0.0116092882224864,0.00874076256016625
"Itgav.2",0.110607530152958,1.20868976967718,2.07659069026253
"Itgb3.2",0.0410467437971343,0.0270895371237069,0.0207697858825573
"Dysf",0.162267738202146,0.114600320408476,0.00245842511148558
"Egfr.1",0.0317612664755127,0.235963377915261,1.63781937177375
"Fpr1",0,0,0
"Fpr2",0,0,0
"Aplnr",0.043983517934912,0,0
"Ldlr",0.529313165391275,2.93351004917034,1.83841644306226
