"","cortex astrocytes","Endothelial cells 1","Endothelial cells 3","ME astrocytes","Microglia","Mural cells","Neurons 1","Neurons 2","Neurons 3","Neurons 4","Neurons 5","Neurons 6","Neurons 12","Neurons 13","Oligodendrocytes 1","Oligodendrocytes 2","Oligodendrocytes 3","OPCs","PVMs 1","PVMs 2","Tanycytes 1","T cells"
"Lrp1",2.77268190234868,0.104056225760831,0,0,2.79595211233109,4.28379314838109,1.87972832822231,1.63304865682721,1.79006925072396,0,2.64097490978242,1.54537178914971,1.42693832443494,2.14816847265566,0.0535210160133356,1.09437831867416,0.0870272844090298,11.2156573654689,1.33836861770186,1.2008243262674,0,0.0576110170804265
"Mtnr1a",0.001378492170047,0,0,0,0.00179576028180507,0,0.00257909939631566,0.0051858073692199,0,0,0,0.00372401426719107,0,0,0.00310931809672322,0.00211610653326731,0.00687798590563128,0,0,0,0,0
"Mtnr1b",0.00123426893387059,0.010917268936003,0.0394524006785813,0,0.002453377847421,0,0.00390229029059558,0.00264656943032706,0.00824706384207085,0,0,0.00203771899366025,0,0,0.00600109842107,0,0,0,0,0,0,0
"Agtr2",0,0,0,0,0.0201551858038128,0.0141955925524243,0.010213989060207,0.00646771539802638,0.0245770305902965,0,0,0.00533138942246794,0.0119081619810675,0.0236458944269771,0.00200919026430928,0.0025126448853857,0,0,0,0,0,0
"Bdkrb2",0.00162891140469635,0,0,0,0,0,0.00211611793203793,0.00230850796442459,0,0,0,0.000867471819310478,0,0,0,0,0,0,0,0,0,0
"Axl",1.97084943063392,0.0432490326677504,0,5.36472268403479,0.119422341949662,8.10574414870898,0.0140938339522559,0.0149901533775198,0.104249073357725,0,0.276121051468964,0.0105302585251856,0.0583027932724238,0,0.0278659413501748,0.0573283924006309,0.0151709300585942,0.529220466112582,1.7888656157819,1.37344262692246,0,0.361354885862636
"Epha3",0.0066237839687799,0.0138485346060381,0,0,0.00247420701046763,0.00382340458885019,0.0351093864728887,0.114484242651793,0.0335057750392079,0,0.742059958444642,0.0677001233731838,0.293298660922268,0.0580729988648972,0.00182759123521467,0,0,0.0248189063657401,0,0,0,0
"Itga9",0.00838438272295676,0.0246376476061183,0,0,0.518167435360372,0.148620209125819,0.0230178800471829,0.0193480170944862,0.0375755383811556,0,0,0.0103993546115202,0.0622263802237068,0.0080160127871436,0.0146364814896656,0.062025607213119,0.00271888225662877,0.808874847165132,0.125076430864477,0.556618173331481,0,0
"Itgb1",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Sdc4",2.53155693343671,0.0521082451500056,0,1.15413468751803,0.929149153931986,0.211480193312039,0.0129695938796551,0.0157408200167799,0.116352000336719,0,0,0.0193166295244835,0.005051229570302,0.0234268582123889,0.0222532966653461,0.00780775391332788,0.0393179529586259,0.0757473867957185,0.587189576511191,2.90486853641187,0,0.0907605736068252
"Itga5",0.00255392070381635,0.0343100246077128,0,0,0.116125398985732,0.0242557263388206,0.00422354166319694,0.0066568000708325,0,0,0,0.00419966087061749,0.00297046172857109,0,0.00369676965111023,0,0,0,0,0.0502872187364713,0,0
"Itga9.1",0.00838438272295676,0.0246376476061183,0,0,0.518167435360372,0.148620209125819,0.0230178800471829,0.0193480170944862,0.0375755383811556,0,0,0.0103993546115202,0.0622263802237068,0.0080160127871436,0.0146364814896656,0.062025607213119,0.00271888225662877,0.808874847165132,0.125076430864477,0.556618173331481,0,0
"Itgav",2.15604303219899,0.0995162458205167,0.158057692659299,1.16198001394376,0.759416093217537,1.02448108586287,0.571214385965154,0.539825453298756,0.368427219617983,0,0,0.367248197160657,0.187553412825833,0.635946217285495,0.938781854447299,0.332123828724395,1.08306836800057,3.39977443690319,0.217683767596054,0.413188587199111,0,0.140759385992742
"Itgb1.1",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Itgb3",0.0100212029388407,0.0511889208304085,0,0,0.40886592849015,0.0496928165099203,0.027861457523133,0.0156531498006805,0.0127537291386916,0,0,0.0302285775234947,0.0219501303742688,0.0607042923207098,0.0354523836750178,0.0195852497766044,0.0981121716178997,0.01533985514392,0.126147946311434,0.00512941514408527,0,0.124875124875125
"Erbb4",0.0142735096671835,0.0157287668490772,0,0,0.00635556608896148,0,0.0141044817498268,0.0130406251982916,0.0570533506747171,0,0,0.0114345951143228,2.10605504323083,0.01941813567126,0.268527203131632,0.51933805088001,0.765089776434151,0.718088715250661,0.0284550069430217,0,0,0
"Itga5.1",0.00255392070381635,0.0343100246077128,0,0,0.116125398985732,0.0242557263388206,0.00422354166319694,0.0066568000708325,0,0,0,0.00419966087061749,0.00297046172857109,0,0.00369676965111023,0,0,0,0,0.0502872187364713,0,0
"Itgb1.2",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Notch1",1.23952968456778,1.5077997744163,1.12623550935563,1.9723865877712,0.414243624043783,3.95928037416029,0.0189516285681088,0.0305300828149611,0.050707810738695,0,0,0.0196408692259118,0.0207089877294516,0.00636251713903054,0.0321818624656988,0.297212294093409,0.0680583299381331,1.48067011723634,0.127207332840231,0.313108860615472,0,0.528105499328345
"Itga5.2",0.00255392070381635,0.0343100246077128,0,0,0.116125398985732,0.0242557263388206,0.00422354166319694,0.0066568000708325,0,0,0,0.00419966087061749,0.00297046172857109,0,0.00369676965111023,0,0,0,0,0.0502872187364713,0,0
"Itgb3.1",0.0100212029388407,0.0511889208304085,0,0,0.40886592849015,0.0496928165099203,0.027861457523133,0.0156531498006805,0.0127537291386916,0,0,0.0302285775234947,0.0219501303742688,0.0607042923207098,0.0354523836750178,0.0195852497766044,0.0981121716178997,0.01533985514392,0.126147946311434,0.00512941514408527,0,0.124875124875125
"Itga4",0.0628946829772801,0.215457033211384,0.37365529567624,0,0.0712417990152946,3.75771230031762,0.183807783602728,0.311543360550353,0.218894057358681,0,0,0.0473524686784252,0.160160003095241,0.191744428846557,0.0689670753346123,0.0822296450999987,0.0813624472846225,0.162771928866119,1.82539944607972,0.629785234071381,0,2.9335915872425
"Cd9",2.01028370448046,1.46367271926902,0.963435468667824,5.42797977226605,9.28138761211306,1.9976586002807,0.683075142248798,0.660329910260181,1.68588098134628,0,2.9728382377071,0.856548315793611,0.881473709875426,1.16099700731894,8.9892755031079,25.0994505073851,10.1740642203757,12.6044875381623,3.91581881476724,0.589364178006082,0,1.70375995240988
"Itga6",3.55009235165493,11.2257671441083,11.0912428721751,1.16198001394376,4.46104224694194,0.155113404931498,0.122387964998903,0.0694900152892547,0.380623337485687,0.845809016324114,0,0.162806753659847,0.155241144734452,0.170715531519682,0.130365708800095,0.155882863329637,0.123121881199213,0.220182473960136,1.11471467614108,1.17473898758859,0,1.33147345466569
"Itga9.2",0.00838438272295676,0.0246376476061183,0,0,0.518167435360372,0.148620209125819,0.0230178800471829,0.0193480170944862,0.0375755383811556,0,0,0.0103993546115202,0.0622263802237068,0.0080160127871436,0.0146364814896656,0.062025607213119,0.00271888225662877,0.808874847165132,0.125076430864477,0.556618173331481,0,0
"Itgb1.3",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
